file,column,original_id,status,canonical_id
deity_relations.csv,to_id,vahana:nandi_(bull),repaired,vahana:nandi_bull
deity_relations.csv,to_id,vahana:hamsa_(swan),repaired,vahana:hamsa_swan
deity_relations.csv,to_id,vahana:hamsa_(swan),repaired,vahana:hamsa_swan
deity_relations.csv,to_id,vahana:airavata_(elephant),repaired,vahana:airavata_elephant
dosha_relations.csv,from_id,rasa:sweet,repaired,rasa:madhura
dosha_relations.csv,from_id,rasa:sour,repaired,rasa:amla
dosha_relations.csv,from_id,rasa:salty,repaired,rasa:lavana
dosha_relations.csv,from_id,rasa:pungent,repaired,rasa:katu
dosha_relations.csv,from_id,rasa:bitter,repaired,rasa:tikta
dosha_relations.csv,from_id,rasa:astringent,repaired,rasa:kashaya
dosha_relations.csv,to_id,graha:(to_be_sourced_from_bphs_edition),repaired,graha:to_be_sourced_from_bphs_edition
dosha_relations.csv,to_id,graha:(to_be_sourced_from_bphs_edition),repaired,graha:to_be_sourced_from_bphs_edition
dosha_relations.csv,to_id,graha:(to_be_sourced_from_bphs_edition),repaired,graha:to_be_sourced_from_bphs_edition
dosha_relations.csv,to_id,graha:(to_be_sourced),repaired,graha:to_be_sourced
dosha_relations.csv,to_id,graha:(to_be_sourced),repaired,graha:to_be_sourced
dosha_relations.csv,to_id,graha:(to_be_sourced),repaired,graha:to_be_sourced
dosha_relations.csv,to_id,graha:(to_be_sourced),repaired,graha:to_be_sourced
gaudiya_relations.csv,to_id,raga:Bhairava,repaired,raga:bhairava
gaudiya_relations.csv,to_id,plant:Kadamba,repaired,plant:kadamba
gaudiya_relations.csv,to_id,raga:Todi,repaired,raga:todi
gaudiya_relations.csv,to_id,plant:Jasmine,repaired,plant:jasmine
gaudiya_relations.csv,to_id,raga:Bilaval,repaired,raga:bilaval
gaudiya_relations.csv,to_id,raga:Bhimpalasi,repaired,raga:bhimpalasi
gaudiya_relations.csv,to_id,raga:Puriya_Dhanashri,repaired,raga:puriya_dhanashri
gaudiya_relations.csv,to_id,raga:Yaman,repaired,raga:yaman
gaudiya_relations.csv,to_id,raga:Bageshri,repaired,raga:bageshri
gaudiya_relations.csv,to_id,raga:Darbari,repaired,raga:darbari
gaudiya_relations.csv,from_id,vraja:Vrindavana,repaired,vraja:vrindavana
gaudiya_relations.csv,to_id,cosmology:Goloka,repaired,cosmology:goloka
gaudiya_relations.csv,from_id,vraja:Vrindavana,repaired,vraja:vrindavana
gaudiya_relations.csv,to_id,nakshatra:Hasta,repaired,nakshatra:hasta
gaudiya_relations.csv,from_id,vraja:Madhuvana,repaired,vraja:madhuvana
gaudiya_relations.csv,from_id,vraja:Talavana,repaired,vraja:talavana
gaudiya_relations.csv,from_id,vraja:Kumudavana,repaired,vraja:kumudavana
gaudiya_relations.csv,from_id,festival:Janmashtami,repaired,festival:janmashtami
gaudiya_relations.csv,to_id,tithi:Krishna_Ashtami_Bhadra,repaired,tithi:krishna_ashtami_bhadra
gaudiya_relations.csv,from_id,festival:Janmashtami,repaired,festival:janmashtami
gaudiya_relations.csv,to_id,raga:Darbari,repaired,raga:darbari
gaudiya_relations.csv,from_id,festival:Gaura_Purnima,repaired,festival:gaura_purnima
gaudiya_relations.csv,to_id,tithi:Phalguna_Purnima,repaired,tithi:phalguna_purnima
gaudiya_relations.csv,from_id,festival:Radhashtami,repaired,festival:radhashtami
gaudiya_relations.csv,to_id,tithi:Bhadra_Shukla_Ashtami,repaired,tithi:bhadra_shukla_ashtami
gaudiya_relations.csv,from_id,bhajan:Jaya_Radha_Madhava,repaired,bhajan:jaya_radha_madhava
gaudiya_relations.csv,from_id,bhajan:Guruvastakam,repaired,bhajan:guruvastakam
gaudiya_relations.csv,from_id,bhajan:Gaura_Arati,repaired,bhajan:gaura_arati
gaudiya_relations.csv,from_id,bhajan:Govindam_Adi_Purusam,repaired,bhajan:govindam_adi_purusam
gaudiya_relations.csv,from_id,deity:Krishna,repaired,deity:krishna
gaudiya_relations.csv,to_id,cosmology:Goloka,repaired,cosmology:goloka
gaudiya_relations.csv,from_id,deity:Radha,repaired,deity:radha
gaudiya_relations.csv,to_id,cosmology:Goloka,repaired,cosmology:goloka
gaudiya_relations.csv,from_id,deity:Chaitanya,repaired,deity:chaitanya
gaudiya_relations.csv,to_id,festival:Gaura_Purnima,repaired,festival:gaura_purnima
gaudiya_relations.csv,from_id,deity:Nityananda,repaired,deity:nityananda
gaudiya_relations.csv,to_id,festival:Nityananda_Trayodashi,repaired,festival:nityananda_trayodashi
iching_relations.csv,from_id,trigram_qian,repaired,trigram:qian
iching_relations.csv,to_id,element_ether,repaired,element:ether
iching_relations.csv,from_id,trigram_qian,repaired,trigram:qian
iching_relations.csv,to_id,graha_surya,repaired,graha:surya
iching_relations.csv,from_id,trigram_qian,repaired,trigram:qian
iching_relations.csv,to_id,guna_sattva,repaired,guna:sattva
iching_relations.csv,from_id,trigram_qian,repaired,trigram:qian
iching_relations.csv,to_id,rasa_adbhuta,repaired,rasa:adbhuta
iching_relations.csv,from_id,trigram_kun,repaired,trigram:kun
iching_relations.csv,to_id,element_earth,repaired,element:earth
iching_relations.csv,from_id,trigram_kun,repaired,trigram:kun
iching_relations.csv,to_id,graha_chandra,repaired,graha:chandra
iching_relations.csv,from_id,trigram_kun,repaired,trigram:kun
iching_relations.csv,to_id,guna_tamas,repaired,guna:tamas
iching_relations.csv,from_id,trigram_kun,repaired,trigram:kun
iching_relations.csv,to_id,rasa_shanta,repaired,rasa:shanta
iching_relations.csv,from_id,trigram_zhen,repaired,trigram:zhen
iching_relations.csv,to_id,element_fire,repaired,element:fire
iching_relations.csv,from_id,trigram_zhen,repaired,trigram:zhen
iching_relations.csv,to_id,graha_mangala,repaired,graha:mangala
iching_relations.csv,from_id,trigram_zhen,repaired,trigram:zhen
iching_relations.csv,to_id,guna_rajas,repaired,guna:rajas
iching_relations.csv,from_id,trigram_zhen,repaired,trigram:zhen
iching_relations.csv,to_id,rasa_vira,repaired,rasa:vira
